fid, fiv, hid, hiv, batt, hr, hbn, hbts1, hbts2, hbts3, hbts4, hbts5, hbts6, hbts7, hbts8, hbts9, hbts10, hbts11, hbts12, hbts13, hbts14, hbts15, distance, speed, strides
26,1f,80,1d,82,89,47,3797,3117,2441,1769,1097,381,65205,64529,63805,63093,62397,61753,61077,60397,59713,704,0,35
26,1f,80,1d,84,89,49,5117,4469,3797,3117,2441,1769,1097,381,65205,64529,63805,63093,62397,61753,61077,704,0,35
26,1f,80,1d,83,89,50,5753,5117,4469,3797,3117,2441,1769,1097,381,65205,64529,63805,63093,62397,61753,704,0,35
26,1f,80,1d,86,91,52,6989,6345,5753,5117,4469,3797,3117,2441,1769,1097,381,65205,64529,63805,63093,704,0,35
26,1f,80,1d,86,91,53,7617,6989,6345,5753,5117,4469,3797,3117,2441,1769,1097,381,65205,64529,63805,723,150,36
26,1f,80,1d,86,92,55,8833,8225,7617,6989,6345,5753,5117,4469,3797,3117,2441,1769,1097,381,65205,723,150,36
26,1f,80,1d,86,93,57,10033,9441,8833,8225,7617,6989,6345,5753,5117,4469,3797,3117,2441,1769,1097,742,150,37
26,1f,80,1d,85,94,58,10621,10033,9441,8833,8225,7617,6989,6345,5753,5117,4469,3797,3117,2441,1769,742,150,37
26,1f,80,1d,86,95,60,11817,11217,10621,10033,9441,8833,8225,7617,6989,6345,5753,5117,4469,3797,3117,742,0,37
26,1f,80,1d,85,95,62,12997,12409,11817,11217,10621,10033,9441,8833,8225,7617,6989,6345,5753,5117,4469,742,0,37
26,1f,80,1d,86,96,63,13589,12997,12409,11817,11217,10621,10033,9441,8833,8225,7617,6989,6345,5753,5117,742,0,37
26,1f,80,1d,87,97,65,14789,14185,13589,12997,12409,11817,11217,10621,10033,9441,8833,8225,7617,6989,6345,742,0,37
26,1f,80,1d,87,97,67,16009,15393,14789,14185,13589,12997,12409,11817,11217,10621,10033,9441,8833,8225,7617,742,0,37
26,1f,80,1d,87,97,68,16649,16009,15393,14789,14185,13589,12997,12409,11817,11217,10621,10033,9441,8833,8225,742,0,37
26,1f,80,1d,87,96,70,17941,17289,16649,16009,15393,14789,14185,13589,12997,12409,11817,11217,10621,10033,9441,742,0,37
26,1f,80,1d,84,96,71,18617,17941,17289,16649,16009,15393,14789,14185,13589,12997,12409,11817,11217,10621,10033,742,0,37
26,1f,80,1d,83,95,73,19981,19313,18617,17941,17289,16649,16009,15393,14789,14185,13589,12997,12409,11817,11217,742,0,37
26,1f,80,1d,84,94,74,20685,19981,19313,18617,17941,17289,16649,16009,15393,14789,14185,13589,12997,12409,11817,742,0,37
26,1f,80,1d,84,93,76,22029,21349,20685,19981,19313,18617,17941,17289,16649,16009,15393,14789,14185,13589,12997,742,0,37
26,1f,80,1d,86,93,77,22685,22029,21349,20685,19981,19313,18617,17941,17289,16649,16009,15393,14789,14185,13589,742,0,37
26,1f,80,1d,84,93,79,23949,23325,22685,22029,21349,20685,19981,19313,18617,17941,17289,16649,16009,15393,14789,742,0,37
26,1f,80,1d,85,93,81,25173,24573,23949,23325,22685,22029,21349,20685,19981,19313,18617,17941,17289,16649,16009,742,0,37
26,1f,80,1d,86,94,82,25773,25173,24573,23949,23325,22685,22029,21349,20685,19981,19313,18617,17941,17289,16649,762,150,38
26,1f,80,1d,86,95,84,26953,26361,25773,25173,24573,23949,23325,22685,22029,21349,20685,19981,19313,18617,17941,762,150,38
26,1f,80,1d,86,96,86,28145,27545,26953,26361,25773,25173,24573,23949,23325,22685,22029,21349,20685,19981,19313,762,0,38
26,1f,80,1d,87,96,87,28745,28145,27545,26953,26361,25773,25173,24573,23949,23325,22685,22029,21349,20685,19981,762,0,38
26,1f,80,1d,86,97,89,29977,29357,28745,28145,27545,26953,26361,25773,25173,24573,23949,23325,22685,22029,21349,762,0,38
26,1f,80,1d,85,97,90,30589,29977,29357,28745,28145,27545,26953,26361,25773,25173,24573,23949,23325,22685,22029,762,0,38
26,1f,80,1d,86,97,92,31833,31209,30589,29977,29357,28745,28145,27545,26953,26361,25773,25173,24573,23949,23325,762,0,38
26,1f,80,1d,88,97,94,33081,32445,31833,31209,30589,29977,29357,28745,28145,27545,26953,26361,25773,25173,24573,762,0,38
26,1f,80,1d,86,96,95,33729,33081,32445,31833,31209,30589,29977,29357,28745,28145,27545,26953,26361,25773,25173,762,0,38
26,1f,80,1d,85,96,97,35061,34393,33729,33081,32445,31833,31209,30589,29977,29357,28745,28145,27545,26953,26361,762,0,38
26,1f,80,1d,84,95,98,35717,35061,34393,33729,33081,32445,31833,31209,30589,29977,29357,28745,28145,27545,26953,762,0,38
26,1f,80,1d,85,95,100,37001,36357,35717,35061,34393,33729,33081,32445,31833,31209,30589,29977,29357,28745,28145,762,0,38
26,1f,80,1d,84,95,101,37649,37001,36357,35717,35061,34393,33729,33081,32445,31833,31209,30589,29977,29357,28745,762,0,38
26,1f,80,1d,87,95,103,38849,38297,37649,37001,36357,35717,35061,34393,33729,33081,32445,31833,31209,30589,29977,762,0,38
26,1f,80,1d,85,95,104,39553,38849,38297,37649,37001,36357,35717,35061,34393,33729,33081,32445,31833,31209,30589,762,0,38
26,1f,80,1d,83,94,106,40965,40233,39553,38849,38297,37649,37001,36357,35717,35061,34393,33729,33081,32445,31833,762,0,38
26,1f,80,1d,84,93,107,41713,40965,40233,39553,38849,38297,37649,37001,36357,35717,35061,34393,33729,33081,32445,762,0,38
26,1f,80,1d,87,92,109,43137,42413,41713,40965,40233,39553,38849,38297,37649,37001,36357,35717,35061,34393,33729,762,0,38
26,1f,80,1d,86,91,110,43893,43137,42413,41713,40965,40233,39553,38849,38297,37649,37001,36357,35717,35061,34393,762,0,38
26,1f,80,1d,86,90,111,44625,43893,43137,42413,41713,40965,40233,39553,38849,38297,37649,37001,36357,35717,35061,762,0,38
26,1f,80,1d,87,89,113,46109,45373,44625,43893,43137,42413,41713,40965,40233,39553,38849,38297,37649,37001,36357,762,0,38
26,1f,80,1d,86,88,114,46813,46109,45373,44625,43893,43137,42413,41713,40965,40233,39553,38849,38297,37649,37001,762,0,38
26,1f,80,1d,88,88,116,48145,47493,46813,46109,45373,44625,43893,43137,42413,41713,40965,40233,39553,38849,38297,762,0,38
26,1f,80,1d,89,88,117,48793,48145,47493,46813,46109,45373,44625,43893,43137,42413,41713,40965,40233,39553,38849,762,0,38
26,1f,80,1d,89,89,119,50165,49461,48793,48145,47493,46813,46109,45373,44625,43893,43137,42413,41713,40965,40233,762,0,38
26,1f,80,1d,89,88,120,50945,50165,49461,48793,48145,47493,46813,46109,45373,44625,43893,43137,42413,41713,40965,762,0,38
26,1f,80,1d,89,87,121,51833,50945,50165,49461,48793,48145,47493,46813,46109,45373,44625,43893,43137,42413,41713,781,150,39
26,1f,80,1d,90,86,122,52733,51833,50945,50165,49461,48793,48145,47493,46813,46109,45373,44625,43893,43137,42413,781,150,39
26,1f,80,1d,86,85,123,53621,52733,51833,50945,50165,49461,48793,48145,47493,46813,46109,45373,44625,43893,43137,781,0,39
26,1f,80,1d,88,83,124,54465,53621,52733,51833,50945,50165,49461,48793,48145,47493,46813,46109,45373,44625,43893,781,0,39
26,1f,80,1d,90,82,126,56069,55289,54465,53621,52733,51833,50945,50165,49461,48793,48145,47493,46813,46109,45373,781,0,39
26,1f,80,1d,88,81,127,56793,56069,55289,54465,53621,52733,51833,50945,50165,49461,48793,48145,47493,46813,46109,781,0,39
