fid, fiv, hid, hiv, batt, hr, hbn, hbts1, hbts2, hbts3, hbts4, hbts5, hbts6, hbts7, hbts8, hbts9, hbts10, hbts11, hbts12, hbts13, hbts14, hbts15, distance, speed, strides
26,1f,80,1d,76,91,184,57789,57257,56581,55909,55277,54677,54081,53473,52721,52237,51565,50853,50105,49349,48573,394,0,19
26,1f,80,1d,78,91,186,59013,58529,57789,57257,56581,55909,55277,54677,54081,53473,52721,52237,51565,50853,50105,394,0,19
26,1f,80,1d,80,91,187,59817,59013,58529,57789,57257,56581,55909,55277,54677,54081,53473,52721,52237,51565,50853,394,0,19
26,1f,80,1d,80,91,189,61061,60441,59817,59013,58529,57789,57257,56581,55909,55277,54677,54081,53473,52721,52237,394,0,19
26,1f,80,1d,82,91,190,61669,61061,60441,59817,59013,58529,57789,57257,56581,55909,55277,54677,54081,53473,52721,394,0,19
26,1f,80,1d,79,91,192,62885,62285,61669,61061,60441,59817,59013,58529,57789,57257,56581,55909,55277,54677,54081,394,0,19
26,1f,80,1d,80,93,193,63481,62885,62285,61669,61061,60441,59817,59013,58529,57789,57257,56581,55909,55277,54677,394,0,19
26,1f,80,1d,80,94,195,64517,64073,63481,62885,62285,61669,61061,60441,59817,59013,58529,57789,57257,56581,55909,394,0,19
26,1f,80,1d,83,95,197,309,65253,64517,64073,63481,62885,62285,61669,61061,60441,59817,59013,58529,57789,57257,394,0,19
26,1f,80,1d,81,96,198,559,309,65253,64517,64073,63481,62885,62285,61669,61061,60441,59817,59013,58529,57789,394,0,19
